Latitude,Longitude,Name
33.19441,-117.38429,Start: Oceanside CA
33.23199,-116.75979,TS 1: Lake Henshaw CA
32.97869,-115.5481,TS 2: Brawley CA
33.609934,-114.587237,TS 3: Blythe CA
34.14459,-114.28597,TS 4: Parker AZ
33.78658,-113.60511,TS 5: Salome AZ
34.16208,-112.85235,TS 6: Congress AZ
34.56397,-112.48486,TS 7: Prescott AZ
34.72759,-112.01025,TS 8: Cottonwood AZ
35.22638,-111.58037,TS 9: Flagstaff AZ
36.11849,-111.22923,TS 10: Tuba City AZ
36.70825,-110.24689,TS 11: Kayenta AZ
37.14872,-109.85946,TS 12: Mexican Hat UT
37.26013,-109.30232,TS 13: Montezuma Creek UT
37.34856,-108.56037,TS 14: Cortez CO
37.260496,-107.877297,TS 15: Durango CO
37.25413,-107.07803,TS 16: Pagosa Springs CO
37.67263,-106.61877,TS 17: South Fork CO
37.4733,-105.85627,TS 18:  Alamosa CO
37.50783,-105.01098,TS 19: La Veta CO
37.16832,-104.50919,TS 20: TrinidadCO
37.24692,-103.35531,TS 21: Kim CO
37.389277,-102.277232,TS 22: Walsh CO
37.575931,-101.352769,TS 23: Ulysses KS
37.59697,-100.4492,TS 24: Montezuma KS
37.606,-99.29453,TS 25: Greensburg KS
37.64528,-98.71263,TS 26: Pratt KS
37.78005,-97.46262,TS 27: Maize KS
37.81616,-96.89232,TS 28: El Dorado KS
37.879643,-95.737893,TS 29: Yates Center KS
37.84511,-94.70753,TS 30: Ft Scott KS
37.891,-93.5424,TS 31: Weaubleau MO
38.00934,-92.74282,TS 32: Camdenton MO
38.565196,-92.186018,TS 33: Jefferson City MO
38.53929,-91.01402,TS 34: Washington MO
38.874808,-90.192392,TS 35: Mississippi River West Alton MO
38.8788,-89.38994,TS 36: Greenville IL
39.11651,-88.55658,TS 37: Effingham IL
39.10261,-87.426213,TS 38: Sullivan IN
39.16185,-86.49819,TS 39: Bloomington IN
39.33676,-85.47966,TS 40: Greensburg IN
39.50466,-84.74899,TS 41: Oxford OH
39.29213,-83.99028,TS 42: Blanchester OH
39.33825,-82.95045,TS 43: Chillicothe OH
39.3358,-82.06528,TS 44: Athens OH
39.26286,-81.05496,TS 45: Ellenboro WV
39.34677,-80.00493,TS 46: Grafton WV
39.399895,-79.01029,TS 47: Keyser WV
39.678206,-78.736727,TS 48: Cumberland MD
39.703779,-78.180836,TS 49: Hancock MD
39.73622,-77.52493,TS 50: Rouzerville PA
39.763203,-76.960432,TS 51: Hanover PA
39.35925,-77.16053,TS 52: Mt Airy MD
39.080893,-76.690271,TS 53: Odenton MD
39.010341,-76.56599,TS 54: Annapolis
38.97727,-76.48571,TS 55: Finish
