race hour,EST,local time,course mile,TS mph,team,location
0,16,13,0,22.15,1,Start: Oceanside CA
1,17,14,22.15,22.15,1,Start: Oceanside CA +22mi
2,18,15,44.3,22.15,1,Start: Oceanside CA +44mi
3,19,16,67.694,22.15,1,TS 1: Lake Henshaw CA +11mi
4,20,17,92.954,25.26,1,TS 1: Lake Henshaw CA +36mi
5,21,18,118.214,25.26,2,TS 1: Lake Henshaw CA +61mi
6,22,19,143.474,25.26,2,TS 1: Lake Henshaw CA +87mi
7,23,20,170.462,25.26,2,TS 2: Brawley CA +25mi
8,0,21,197.642,27.18,2,TS 2: Brawley CA +52mi
9,1,22,224.822,27.18,2,TS 2: Brawley CA +80mi
10,2,23,250.736,27.18,3,TS 3: Blythe CA +16mi
11,3,0,275.806,25.07,3,TS 3: Blythe CA +41mi
12,4,1,299.316,25.07,3,TS 4: Parker AZ +13mi
13,5,2,321.266,21.95,3,TS 4: Parker AZ +35mi
14,6,3,343.216,21.95,3,TS 5: Salome AZ +1mi
15,7,4,365.456,22.24,4,TS 5: Salome AZ +23mi
16,8,5,387.696,22.24,4,TS 5: Salome AZ +45mi
17,9,6,407.974,22.24,4,TS 6: Congress AZ +13mi
18,10,7,426.944,18.97,4,TS 6: Congress AZ +32mi
19,11,8,447.012,18.97,4,TS 7: Prescott AZ +6mi
20,12,9,471.472,24.46,1,TS 7: Prescott AZ +30mi
21,13,10,494.517,24.46,1,TS 8: Cottonwood AZ +12mi
22,14,11,516.147,21.63,1,TS 8: Cottonwood AZ +33mi
23,15,12,537.777,21.63,1,TS 9: Flagstaff AZ +2mi
24,16,13,565.277,27.5,1,TS 9: Flagstaff AZ +29mi
25,17,14,592.777,27.5,2,TS 9: Flagstaff AZ +57mi
26,18,15,621.505,27.5,2,TS 10: Tuba City AZ +14mi
27,19,16,652.075,30.57,2,TS 10: Tuba City AZ +44mi
28,20,17,682.645,30.57,2,TS 11: Kayenta AZ +3mi
29,21,18,710.585,27.94,2,TS 11: Kayenta AZ +31mi
30,22,20,737.149,27.94,3,TS 12: Mexican Hat UT +13mi
31,23,21,761.649,24.5,3,TS 12: Mexican Hat UT +37mi
32,0,22,784.157,24.5,3,TS 13: Montezuma Creek UT +20mi
33,1,23,806.167,22.01,3,TS 13: Montezuma Creek UT +42mi
34,2,0,827.1048,22.01,3,TS 14: Cortez CO +13mi
35,3,1,847.3278,20.223,4,TS 14: Cortez CO +33mi
36,4,2,868.8644,20.223,4,TS 15: Durango CO +10mi
37,5,3,892.3714,23.507,4,TS 15: Durango CO +34mi
38,6,4,915.7274,23.507,4,TS 16: Pagosa Springs CO +3mi
39,7,5,937.7249,21.9975,4,TS 16: Pagosa Springs CO +25mi
40,8,6,959.7224,21.9975,1,TS 16: Pagosa Springs CO +47mi
41,9,7,986.8551,21.9975,1,TS 17: South Fork CO +26mi
42,10,8,1014.1944,27.7032,1,TS 18:  Alamosa CO +7mi
43,11,9,1040.0783,25.8839,1,TS 18:  Alamosa CO +33mi
44,12,10,1065.9622,25.8839,1,TS 19: La Veta CO +0mi
45,13,11,1087.3242,21.362,2,TS 19: La Veta CO +22mi
46,14,12,1108.6862,21.362,2,TS 19: La Veta CO +43mi
47,15,13,1130.0482,21.362,2,TS 19: La Veta CO +64mi
48,16,14,1152.0753,21.362,2,TS 20: TrinidadCO +21mi
49,17,15,1174.1763,22.101,2,TS 20: TrinidadCO +43mi
50,18,16,1196.2773,22.101,3,TS 20: TrinidadCO +65mi
51,19,17,1221.7401,22.101,3,TS 21: Kim CO +19mi
52,20,18,1248.6437,26.9036,3,TS 21: Kim CO +46mi
53,21,19,1275.6628,26.9036,3,TS 22: Walsh CO +5mi
54,22,20,1303.721,28.0582,3,TS 22: Walsh CO +33mi
55,23,21,1331.8084,28.0582,4,TS 23: Ulysses KS +7mi
56,0,22,1360.0124,28.204,4,TS 23: Ulysses KS +35mi
57,1,0,1388.1411,28.204,4,TS 24: Montezuma KS +13mi
58,2,1,1416.1569,28.0158,4,TS 24: Montezuma KS +41mi
59,3,2,1444.1727,28.0158,4,TS 25: Greensburg KS +3mi
60,4,3,1471.7535,27.5808,1,TS 25: Greensburg KS +30mi
61,5,4,1494.9371,27.5808,1,TS 26: Pratt KS +21mi
62,6,5,1517.6321,22.695,1,TS 26: Pratt KS +44mi
63,7,6,1540.3271,22.695,1,TS 26: Pratt KS +67mi
64,8,7,1565.1001,22.695,1,TS 27: Maize KS +15mi
65,9,8,1591.9709,26.851,2,TS 28: El Dorado KS +8mi
66,10,9,1618.9209,26.95,2,TS 28: El Dorado KS +35mi
67,11,10,1645.8709,26.95,2,TS 28: El Dorado KS +62mi
68,12,11,1671.4178,26.95,2,TS 29: Yates Center KS +23mi
69,13,12,1696.614,25.1962,2,TS 29: Yates Center KS +48mi
70,14,13,1720.7327,25.1962,3,TS 30: Ft Scott KS +13mi
71,15,14,1743.7738,23.0411,3,TS 30: Ft Scott KS +36mi
72,16,15,1766.8149,23.0411,3,TS 30: Ft Scott KS +59mi
73,17,16,1789.3937,23.0411,3,TS 31: Weaubleau MO +15mi
74,18,17,1811.6643,22.2706,3,TS 31: Weaubleau MO +37mi
75,19,18,1835.569,22.2706,4,TS 32: Camdenton MO +12mi
76,20,19,1861.925,26.356,4,TS 32: Camdenton MO +39mi
77,21,20,1887.5962,26.356,4,TS 33: Jefferson City MO +7mi
78,22,21,1910.5282,22.932,4,TS 33: Jefferson City MO +30mi
79,23,22,1933.4602,22.932,4,TS 33: Jefferson City MO +53mi
80,0,23,1956.3922,22.932,1,TS 33: Jefferson City MO +76mi
81,1,0,1978.7805,22.932,1,TS 34: Washington MO +21mi
