Latitude,Longitude,Name
33.250880,-117.299960,01A-R
33.254670,-117.299270,01B-R
33.260128,-117.264083,01C-L
33.302693,-117.262389,01D-R
33.306297,-117.245292,01E-R
33.266610,-117.157040,01F-R
33.250550,-117.153430,01G-L
33.255990,-117.068440,01H-S
33.222280,-117.036800,01I-L
33.231340,-117.020670,01J-BR
33.288260,-116.958630,01K-R
33.199770,-116.710380,02A-L
33.249210,-116.674120,02B-R
33.219820,-116.604810,02C-L
33.256290,-116.399460,02D-R
33.256550,-116.376270,02E-BR
33.255940,-116.375310,02F-R
33.211110,-116.330250,02G-S
33.157440,-116.244600,02H-L
33.125730,-115.855500,02I-R
32.978530,-115.541790,03A-S
32.974170,-115.408140,03B-L
33.477910,-114.730790,03C-R
33.477790,-114.709020,03D-L
33.506900,-114.708960,03E-R
33.506960,-114.656330,03F-L
33.610080,-114.657940,03G-R
33.610720,-114.571090,04A-L
34.043320,-114.481370,04B-R
34.042590,-114.390160,04C-L
34.129620,-114.311670,04D-L
34.150290,-114.289140,04E-R
33.994890,-114.217090,05A-S
33.723550,-113.703100,05B-L
33.942960,-113.143500,06A-L
34.162830,-112.844400,07A-L
34.369340,-112.665670,07B-S
34.562886,-112.487699,07C-R
34.567990,-112.482555,08A-L
34.627280,-112.440010,08B-R
34.639780,-112.315970,08C-L
34.761850,-112.064240,08D-R
34.728550,-112.009520,08E-R
34.721600,-112.002580,09A-S
35.139690,-111.685740,09B-S
35.177210,-111.662960,09C-R
35.182000,-111.653020,09D-L
35.197150,-111.648140,09E-R
35.219050,-111.590890,09F-S
36.075620,-111.391810,10A-R
36.707710,-110.247380,11A-L
37.151100,-109.867400,12A-R
37.265420,-109.625990,13A-S
37.286600,-109.545670,13B-R
37.262490,-109.305920,13C-R
37.261750,-109.306210,13D-L
37.219110,-109.192170,14A-L
37.312070,-108.609700,14B-L
37.347020,-108.594110,14C-BR
37.268441,-107.885532,15A-BR
37.269460,-106.995230,17A-BL
37.467050,-105.862200,18A-L
