latitude,longitude,name
33.19442,-117.38428,1
33.19684,-117.38627,2
33.19687,-117.38629,3
33.19693,-117.38629,4
33.19698,-117.38623,5
33.19746,-117.38541,6
33.19799,-117.38455,7
33.19831,-117.38407,8
33.19849,-117.38401,9
33.19933,-117.3847,10
33.20002,-117.3853,11
33.20005,-117.3855,12
33.19993,-117.3857,13
33.19991,-117.38574,14
33.19995,-117.38587,15
33.20096,-117.38679,16
33.20168,-117.38734,17
33.20264,-117.38768,18
33.20311,-117.38755,19
33.20449,-117.38634,20
33.20504,-117.38544,21
33.20554,-117.3851,22
33.20586,-117.38507,23
33.20593,-117.385,24
33.20629,-117.38403,25
33.20635,-117.38367,26
33.2063,-117.38314,27
33.2064,-117.38283,28
33.20726,-117.38225,29
33.2082,-117.38135,30
33.20911,-117.38008,31
33.20963,-117.37955,32
33.21025,-117.37864,33
33.21045,-117.37823,34
33.21171,-117.37661,35
33.2123,-117.37559,36
33.21272,-117.37442,37
33.21292,-117.37348,38
33.21298,-117.37244,39
33.2128,-117.36819,40
33.21285,-117.36758,41
33.21292,-117.36743,42
33.21335,-117.36734,43
33.21368,-117.36708,44
33.2139,-117.36668,45
33.21397,-117.36618,46
33.21403,-117.36493,47
33.21415,-117.36406,48
33.21448,-117.36276,49
33.21477,-117.36193,50
33.21508,-117.3613,51
33.21594,-117.3601,52
33.21638,-117.35963,53
33.21685,-117.35934,54
33.21768,-117.35899,55
33.21892,-117.35804,56
33.21934,-117.35781,57
33.21957,-117.35753,58
33.2201,-117.35661,59
33.22039,-117.35582,60
33.22055,-117.35502,61
33.22068,-117.35331,62
33.22065,-117.35272,63
33.22036,-117.35112,64
33.22029,-117.35033,65
33.22032,-117.34938,66
33.22045,-117.34861,67
33.22057,-117.34805,68
33.22121,-117.34623,69
33.22158,-117.34552,70
33.2223,-117.34456,71
33.22247,-117.3445,72
33.22279,-117.34456,73
33.22296,-117.34434,74
33.22298,-117.34422,75
33.22296,-117.34403,76
33.22306,-117.34378,77
33.22348,-117.34344,78
33.22415,-117.34312,79
33.22448,-117.34303,80
33.22508,-117.34295,81
33.22666,-117.3431,82
33.22797,-117.34308,83
33.22865,-117.34299,84
33.22949,-117.34278,85
33.23051,-117.34227,86
33.23215,-117.34122,87
33.2331,-117.34077,88
33.234,-117.3405,89
33.23664,-117.33995,90
33.23694,-117.33983,91
33.23776,-117.33939,92
33.23832,-117.33891,93
33.23872,-117.33847,94
33.23909,-117.33788,95
33.23935,-117.33734,96
33.23954,-117.33668,97
33.23965,-117.33605,98
33.23978,-117.32313,99
33.2398,-117.32295,100
33.23988,-117.3227,101
33.23989,-117.32242,102
33.2398,-117.32205,103
33.2398,-117.32081,104
33.23976,-117.32056,105
33.23976,-117.31986,106
33.23981,-117.31965,107
33.2399,-117.30964,108
33.23998,-117.30854,109
33.2402,-117.30733,110
33.24044,-117.30649,111
33.24071,-117.30574,112
33.24107,-117.30497,113
33.24152,-117.3042,114
33.24211,-117.30336,115
33.24278,-117.30261,116
33.2434,-117.30203,117
33.24407,-117.30154,118
33.24456,-117.30125,119
33.24725,-117.29961,120
33.24922,-117.29805,121
33.24988,-117.29779,122
33.2501,-117.29766,123
33.25011,-117.29755,124
33.25,-117.29722,125
33.24996,-117.29717,126
33.24998,-117.29747,127
33.25069,-117.29967,128
33.25086,-117.29999,129
33.25099,-117.30002,130
33.25313,-117.2996,131
33.2533,-117.29951,132
