latitude, longitude, name
33.19441, -117.38429, Start: Oceanside CA
36.11849, -111.22923, TS 10: Tuba City AZ
36.70825, -110.24689, TS 11: Kayenta AZ
37.14872, -109.85946, TS 12: Mexican Hat UT
37.26013, -109.30232, TS 13: Montezuma Creek UT
37.34856, -108.56037, TS 14: Cortez CO
37.26050, -107.87730, TS 15: Durango CO
37.25413, -107.07803, TS 16: Pagosa Springs CO
37.67263, -106.61877, TS 17: South Fork CO
37.47330, -105.85627, TS 18:  Alamosa CO
37.50783, -105.01098, TS 19: La Veta CO
33.23199, -116.75979, TS 1: Lake Henshaw CA
37.16832, -104.50919, TS 20: TrinidadCO
37.24692, -103.35531, TS 21: Kim CO
37.38928, -102.27723, TS 22: Walsh CO
37.57593, -101.35277, TS 23: Ulysses KS
37.59697, -100.44920, TS 24: Montezuma KS
37.60600, -99.29453, TS 25: Greensburg KS
37.64528, -98.71263, TS 26: Pratt KS
37.78005, -97.46262, TS 27: Maize KS
37.81616, -96.89232, TS 28: El Dorado KS
37.87964, -95.73789, TS 29: Yates Center KS
32.97869, -115.54810, TS 2: Brawley CA
37.84198, -94.69315, TS 30: Ft Scott KS
37.89100, -93.54240, TS 31: Weaubleau MO
38.00934, -92.74282, TS 32: Camdenton MO
38.56126, -92.18939, TS 33: Jefferson City MO
38.53929, -91.01402, TS 34: Washington MO
38.87481, -90.19239, TS 35: Mississippi River West Alton MO
38.87880, -89.38994, TS 36: Greenville IL
39.11651, -88.55658, TS 37: Effingham IL
39.10261, -87.42621, TS 38: Sullivan IN
39.16185, -86.49819, TS 39: Bloomington IN
33.60993, -114.58724, TS 3: Blythe CA
39.33676, -85.47966, TS 40: Greensburg IN
39.50612, -84.74937, TS 41: Oxford OH
39.29213, -83.99028, TS 42: Blanchester OH
39.33825, -82.95045, TS 43: Chillicothe OH
39.33580, -82.06528, TS 44: Athens OH
39.28640, -80.73319, TS 45: West Union WV
39.34644, -80.00394, TS 46: Grafton WV
39.56205, -79.35668, TS 47: McHenry MD
39.67821, -78.73673, TS 48: Cumberland MD
39.70378, -78.18084, TS 49: Hancock MD
34.14459, -114.28597, TS 4: Parker AZ
39.73622, -77.52493, TS 50: Rouzerville PA
39.76320, -76.96043, TS 51: Hanover PA
39.35925, -77.16053, TS 52: Mt Airy MD
39.08089, -76.69027, TS 53: Odenton MD
39.01034, -76.56599, TS 54: Annapolis
38.97727, -76.48571, TS 55: Finish
33.78658, -113.60511, TS 5: Salome AZ
34.16208, -112.85235, TS 6: Congress AZ
34.56431, -112.48546, TS 7: Prescott AZ
34.72759, -112.01025, TS 8: Cottonwood AZ
35.22638, -111.58037, TS 9: Flagstaff AZ
