latitude,longitude,name
33.19446,-117.38426,1
33.19684,-117.38627,2
33.19688,-117.3863,3
33.19694,-117.38629,4
33.19799,-117.38455,5
33.19831,-117.38407,6
33.19849,-117.38401,7
33.19933,-117.3847,8
33.20002,-117.3853,9
33.20005,-117.3855,10
33.19993,-117.3857,11
33.19991,-117.38574,12
33.19996,-117.38585,13
33.20091,-117.38672,14
33.20104,-117.38686,15
33.2012,-117.387,16
33.20139,-117.38713,17
33.20166,-117.38733,18
33.20181,-117.38741,19
33.20235,-117.38761,20
33.20254,-117.38767,21
33.20276,-117.38766,22
33.20315,-117.38754,23
33.20338,-117.38738,24
33.20428,-117.38658,25
33.20458,-117.38622,26
33.20498,-117.38556,27
33.20512,-117.38539,28
33.20555,-117.38511,29
33.20564,-117.38508,30
33.20582,-117.38509,31
33.20591,-117.38504,32
33.20633,-117.38394,33
33.20638,-117.38369,34
33.20631,-117.38315,35
33.20634,-117.38298,36
33.20639,-117.38288,37
33.2065,-117.38278,38
33.20663,-117.38272,39
33.20722,-117.3823,40
33.20755,-117.38203,41
33.20795,-117.38165,42
33.20832,-117.38121,43
33.20905,-117.38017,44
33.20919,-117.38001,45
33.20964,-117.37954,46
33.20977,-117.37937,47
33.21003,-117.37898,48
33.21025,-117.37868,49
33.21033,-117.37852,50
33.21043,-117.37831,51
33.21064,-117.378,52
33.2111,-117.3774,53
33.2116,-117.37676,54
33.21187,-117.37636,55
33.2123,-117.37556,56
33.21244,-117.37527,57
33.21273,-117.3744,58
33.21282,-117.37402,59
33.21291,-117.37355,60
33.21294,-117.37328,61
33.21297,-117.37226,62
33.21295,-117.37088,63
33.21291,-117.37013,64
33.21281,-117.36821,65
33.21282,-117.36791,66
33.21287,-117.36758,67
33.21296,-117.36744,68
33.21327,-117.36737,69
33.21351,-117.36726,70
33.21368,-117.3671,71
33.21382,-117.36691,72
33.21392,-117.36664,73
33.21396,-117.36639,74
33.21401,-117.3654,75
33.21405,-117.36489,76
33.21413,-117.36432,77
33.21424,-117.36375,78
33.21451,-117.36269,79
33.21465,-117.36224,80
33.2149,-117.36167,81
33.21515,-117.36123,82
33.21589,-117.3602,83
33.21619,-117.35986,84
33.21648,-117.35959,85
33.21673,-117.35942,86
33.21697,-117.35929,87
33.21725,-117.35918,88
33.21751,-117.35909,89
33.21777,-117.35896,90
33.21792,-117.35882,91
