latitude, longitude, name
33.25088, -117.29996, 01A-R
33.25467, -117.29927, 01B-R
33.26013, -117.26408, 01C-L
33.30269, -117.26239, 01D-R
33.30630, -117.24529, 01E-R
33.26661, -117.15704, 01F-R
33.25055, -117.15343, 01G-L
33.25599, -117.06844, 01H-S
33.22239, -117.03692, 01I-L
33.23134, -117.02067, 01J-BR
33.28826, -116.95863, 01K-R
33.19977, -116.71038, 02A-L
33.24921, -116.67412, 02B-R
33.21982, -116.60481, 02C-L
33.25629, -116.39946, 02D-R
33.25655, -116.37627, 02E-BR
33.25594, -116.37531, 02F-R
33.21111, -116.33025, 02G-S
33.15744, -116.24460, 02H-L
33.12573, -115.85550, 02I-R
32.97853, -115.54179, 03A-S
32.97417, -115.40814, 03B-L
33.47791, -114.73079, 03C-R
33.47779, -114.70902, 03D-L
33.50690, -114.70896, 03E-R
33.50696, -114.65633, 03F-L
33.61008, -114.65794, 03G-R
33.61072, -114.57109, 04A-L
34.04332, -114.48137, 04B-R
34.04259, -114.39016, 04C-L
34.12962, -114.31167, 04D-L
34.15029, -114.28914, 04E-R
33.99489, -114.21709, 05A-S
33.72355, -113.70310, 05B-L
33.94296, -113.14350, 06A-L
34.16283, -112.84440, 07A-L
34.36933, -112.66562, 07B-L
34.41698, -112.71015, 07C-R
34.56306, -112.48805, 07D-L
34.56799, -112.48255, 08A-L
34.62728, -112.44001, 08B-R
34.63978, -112.31597, 08C-L
34.76185, -112.06424, 08D-R
34.72855, -112.00952, 08E-R
34.72160, -112.00258, 09A-S
34.73270, -111.97792, 09B-R
34.69073, -111.85366, 09C-L
34.73385, -111.77696, 09D-R
34.69006, -111.74287, 09E-L
35.13563, -111.68462, 09F-R
35.13951, -111.68313, 09G-R
35.14257, -111.67902, 09H-L
35.15539, -111.67490, 09I-L
35.16607, -111.66469, 09J-L
35.17039, -111.66630, 09K-R
35.17721, -111.66296, 09L-R
35.18200, -111.65302, 09M-L
35.19715, -111.64814, 09N-R
35.21905, -111.59089, 09O-S
36.07562, -111.39181, 10A-R
36.70771, -110.24738, 11A-L
37.15110, -109.86740, 12A-R
37.26542, -109.62599, 13A-S
37.28660, -109.54567, 13B-R
37.26249, -109.30592, 13C-R
37.26175, -109.30621, 13D-L
37.21911, -109.19217, 14A-L
37.31207, -108.60970, 14B-L
37.34702, -108.59411, 14C-BR
37.26844, -107.88553, 15A-BR
37.26946, -106.99523, 17A-BL
37.46708, -105.86242, 18A-L
37.47249, -105.85786, 18B-BR
37.54144, -105.05967, 19A-R
37.50911, -105.01139, 19B-R
37.16607, -104.51855, 20A-L
37.16802, -104.51825, 20B-R
37.16821, -104.51392, 20C-L
37.16974, -104.51371, 20D-R
37.16746, -104.50811, 21A-L
37.18363, -104.48271, 21B-S
37.22862, -104.41107, 21C-R
37.36722, -102.86019, 22A-L
37.46902, -102.04223, 23A-BL
37.46984, -102.04176, 23B-BR
37.56278, -101.76217, 23C-L
37.57729, -101.76198, 23D-R
37.56221, -100.87098, 24A-S
37.56208, -100.56492, 24B-L
37.64966, -100.24496, 25A-R
37.64608, -99.75400, 25B-R
37.58713, -99.68292, 25C-S
37.66780, -98.04406, 27A-BR
37.66654, -98.04479, 27B-R
37.71894, -98.04510, 27C-R
37.72160, -97.53543, 27D-L
37.77904, -97.53596, 27E-R
37.78131, -97.31747, 28A-L
37.79563, -97.31729, 28B-R
37.79788, -97.26288, 28C-R
37.79550, -97.26262, 28D-L
37.79783, -97.00882, 28E-R
37.79583, -97.00422, 28F-S
37.79636, -96.99239, 28G-R
37.79549, -96.89878, 28H-L
37.81672, -96.89869, 28I-R
37.85529, -94.71382, 30A-R
37.85498, -94.71360, 30B-L
37.84199, -94.70738, 30C-L
37.84189, -94.70278, 30D-S
37.83673, -94.34145, 31A-L
38.55210, -92.19909, 33A-BR
38.55328, -92.19676, 33B-L
38.55412, -92.19816, 33C-R
38.57790, -92.17133, 34A-L
38.57870, -92.17202, 34B-BR
38.58003, -92.17335, 34C-BR
38.58455, -92.18027, 34D-BR
38.59837, -92.16806, 34E-BR
38.72468, -91.70471, 34F-R
38.72882, -91.44638, 34G-R
38.70705, -91.43772, 34H-L
38.53838, -91.00595, 35A-L
38.59977, -91.00482, 35B-R
38.60555, -90.99492, 35C-S
38.64443, -90.96164, 35D-L
38.68577, -90.95186, 35E-R
38.71042, -90.87803, 35F-L
38.80923, -90.85392, 35G-R
38.80950, -90.85250, 35H-L
38.81055, -90.85271, 35I-R
38.81192, -90.84281, 35J-BL
38.80383, -90.64885, 35K-L
38.80535, -90.63437, 35L-R
38.80479, -90.63037, 35M-L
38.80589, -90.63013, 35N-R
38.80806, -90.62549, 35O-L
38.86119, -90.61886, 35P-R
38.83297, -90.46961, 35Q-L
38.85214, -90.44777, 35R-S
38.87367, -90.39935, 35S-R
38.91050, -90.35226, 35T-R
38.86160, -90.22339, 35U-L
38.88765, -90.17240, 36A-R
38.88745, -90.17068, 36B-L
38.88763, -90.16683, 36C-R
38.88786, -90.16071, 36D-L
38.90327, -90.14927, 36E-R
38.89766, -89.43766, 36F-S
38.89779, -89.42035, 36G-BR
38.89280, -89.41675, 36H-BL
38.89266, -89.41371, 36I-R
38.88710, -89.41360, 36J-L
38.87877, -89.39091, 36K-L
38.97188, -89.13602, 37A-R
38.96715, -89.13059, 37B-S
38.96393, -89.09333, 37C-R
38.96079, -89.09334, 37D-L
38.96030, -89.08723, 37E-BL
39.12025, -88.55614, 38A-R
39.11976, -88.53762, 38B-R
39.00851, -88.14102, 38C-BR
39.00806, -87.68487, 38D-L
39.10684, -87.68436, 38E-R
39.10288, -87.42594, 39A-R
39.07415, -87.41284, 39B-L
39.07387, -87.40960, 39C-L
39.07594, -87.40941, 39D-R
39.06701, -87.19098, 39E-BR
39.03588, -87.18151, 39F-BL
39.03916, -86.74219, 39G-L
39.08314, -86.75611, 39H-R
39.17065, -86.68108, 39I-R
39.16464, -86.58315, 39J-L
39.19352, -86.57149, 39K-R
39.16106, -86.49785, 40A-R
39.16096, -86.50228, 40B-R
39.16412, -86.50240, 40C-R
39.20265, -86.24690, 40D-R
39.19844, -85.92994, 40E-S
39.19920, -85.92388, 40F-S
39.20066, -85.91048, 40G-S
39.20646, -85.90414, 40H-BR
39.21072, -85.87786, 40I-S
39.22335, -85.87584, 40J-R
39.33246, -85.52266, 40K-BR
39.30620, -85.21824, 41A-L
39.31340, -85.20850, 41B-BL
39.33897, -85.20617, 41C-R
39.33920, -85.19968, 41D-R
39.33815, -85.19923, 41E-L
39.34653, -85.15253, 41F-R
39.34315, -85.13823, 41G-R
39.33963, -85.13786, 41H-L
39.33960, -85.11431, 41I-BL
39.39303, -85.08558, 41J-R
39.42073, -85.01284, 41K-S
39.42072, -85.00910, 41L-L
39.43282, -85.00453, 41M-R
39.44105, -84.97371, 41N-R
39.43950, -84.97366, 41O-L
39.44774, -84.92762, 41P-BL
39.49386, -84.82194, 41Q-R
39.50056, -84.75922, 41R-S
39.50067, -84.74964, 41S-L
39.50739, -84.74928, 42A-R
39.50721, -84.73085, 42B-L
39.50760, -84.73062, 42C-R
39.51098, -84.60937, 42D-R
39.49397, -84.56843, 42E-L
39.47372, -84.34353, 42F-R
39.47299, -84.34347, 42G-L
39.45007, -84.23681, 42H-R
39.43604, -84.21526, 42I-S
39.43389, -84.21545, 42J-L
39.43072, -84.18774, 42K-R
39.36465, -84.17259, 42L-L
39.35747, -84.12884, 42M-R
39.35473, -84.12751, 42N-R
39.35406, -84.13021, 42O-L
39.34828, -84.12993, 42P-L
39.34431, -84.09529, 42Q-R
39.28904, -84.00510, 42R-L
39.29631, -83.98360, 43A-R
39.29512, -83.98232, 43B-BL
39.32393, -83.69206, 43C-L
39.32557, -83.69017, 43D-R
39.32499, -83.68899, 43E-L
39.34523, -83.55495, 43F-BL
39.34817, -83.06386, 43G-L
39.31847, -82.89463, 44A-R
39.29030, -82.87521, 44B-L
39.26761, -82.58475, 44C-BL
39.21076, -82.23602, 44D-L
39.30023, -82.10963, 44E-S
39.30393, -82.10298, 44F-S
39.32661, -82.10148, 44G-L
39.33216, -82.10086, 44H-R
39.33208, -82.09821, 44I-L
39.21222, -81.81809, 45A-S
39.28127, -81.68258, 45B-BR
39.28345, -80.40016, 46A-R
39.28125, -80.40614, 46B-L
39.26858, -80.37298, 46C-L
39.27311, -80.36874, 46D-R
39.26730, -80.36151, 46E-BL
39.26802, -80.35582, 46F-R
39.26472, -80.32736, 46G-L
39.27880, -80.32135, 46H-R
39.27829, -80.29341, 46I-R
39.27802, -80.29320, 46J-L
39.30908, -79.45431, 47A-L
39.40327, -79.39842, 47B-L
39.40700, -79.40721, 47C-R
39.69440, -79.24786, 48A-R
39.67014, -78.79037, 48B-BR
39.65986, -78.77619, 48C-L
39.65504, -78.76085, 48D-L
39.67836, -78.73673, 49A-R
39.67457, -78.72760, 49B-R
39.67284, -78.72784, 49C-L
39.67714, -78.45828, 49D-L
39.68666, -78.43926, 49E-BR
39.70235, -78.35385, 49F-R
39.70107, -78.35380, 49G-L
39.70508, -78.32892, 49H-S
39.70546, -78.29757, 49I-R
39.69935, -78.18212, 49J-L
39.72579, -78.16859, 50A-R
39.73028, -78.14480, 50B-R
39.72381, -78.11260, 50C-R
39.72256, -78.11324, 50D-L
39.71740, -78.11063, 50E-L
39.71048, -78.10174, 50F-L
